recoverykey,ivr_call_id,acd_area_nm,call_end_dt,call_end_tm,call_answer_tm,route_value,icm_acct_type_cd,eqp_prod_id,cust_value,lang_pref_ind,cacs_state_cd,first_bill_cd,onstar_ind,transfer_point,onebill_ind,high_risk_ind,cacs_work_state_cd,ivr_cust_src_cd,bus_rule,script_nm,eccr_line_bus_nm,eccr_super_line_bus_nm,eccr_dept_nm,mtn,eccr_call_ctr_cd,acd_appl_id,agent_group_id,callers_region,transfer_flag,final_call_dispo,call_dispo_flag,peripheral_call_type,final_object_id,call_duration_seconds,ring_tm_seconds,delay_tm_seconds,time_to_aband_seconds,hold_tm_seconds,talk_tm_seconds,work_tm_seconds,local_q_tm_seconds,handle_tm_seconds,delay_answer_seconds,call_offered_cnt,answer_half_hr,abandons_cnt,answered_cnt,ansr_30_cnt,ansr_30_to_40_cnt,tm_zone_offset,callcenterid,sor_id,cust_id,cust_line_seq_id,acss_call_id,callcenterid_agent,acd_area_nm_agent,eccr_line_bus_nm_agent,eccr_dept_nm_agent,rep_type_cd,ecc_sm_ind,eid,call_answer_dt,routercallkeyday,routercallkey,super_bus_rule,super_skill_group,super_call_type_cd,dev_cat_cd,hpr_cd,specialization_cd,client_channel_cd,client_application_cd,call_status,call_reas_cd,orig_ivr_call_id
9.1823E+12,mmpOlbD0CXdV28/2rRcmaHHonVkP0fmrg5cj65i8OtpG3KXjWw+Gfab71eW9UJK7Ui+0Z586pJDtD6u7FJHqeQ==,Enterprise Queue,2020-03-01,15:27:52,15:25:51,DEF,CONX,0,MN,E,N0,0,N,CFSACBI,N,N,0,N,NA,,BGCO-Tech Advisor Transfers,BGCO Tech,BGCO Tech,mFH8tbrpsfZmZkVKndKxlStpkgEwkcw3Q9cpmswxqkQeHGe5HFnL0jBnixKNSzyFpBGrfBjpHE0tQO+BkHRAbg==,EQ2,5854,22021,PC,0,13,1,2,,121,0,0,0,8,106,7,0,121,0,1,31,0,1,1,0,0,250,,,,,21,Legacy,BGCO-Tech Advisor,eUURaqJHOi+KJ6HHQlfahsh97FCGLRAMACSmhdVJ8nbKHWETtXga28ajn+Jd37B2xmC/8woeLw97jX8b+TWrog==,C,,,2020-03-01,,,,,,,,,,,,,
9.1823E+12,LQeJSYE20FRkzQR3C7oTY3ecehp2exv2G16EkxPGM23i+v3s9dHN/yHfOS6xcvwhZQeA4nz2RdNl6xS/rKuyUg==,Enterprise Queue,2020-03-01,18:14:58,17:48:45,DEF,CONX,0,MN,E,N0,0,N,BSCSHOO,N,N,0,N,NA,,BGCO-Tech SHOO,BGCO Tech,BGCO Tech,HXYedwsHEG50DYyGQP3z06Uu3IBVPQvvhiGIlpWhTJI613atq4H3xo2bhtSYtwDnf76Bhxdb66aEXJGa68jwuA==,EQ2,5838,22021,GL,0,13,1,2,,1574,0,1,0,1372,201,0,0,1573,0,1,36,0,1,1,0,0,250,V,5GwfoCvaX/2351U0fx/XwDeMqj6yQxtrImav+nhwDBLl18UCwTBuKa3pDJzLScwJog++2ED+dFJQWhGGmzO9eQ==,7,sbEvJxDuNpzgBrv2rULA17uoV3SN0PtniIOzeBZtkoPK8m2oqc9Ew3GbkWCRskKlcmMvEiB0cD6IaJCz5wG2Yg==,21,Legacy,BGCO-Tech Advisor,eUURaqJHOi+KJ6HHQlfahsh97FCGLRAMACSmhdVJ8nbKHWETtXga28ajn+Jd37B2xmC/8woeLw97jX8b+TWrog==,C,,,2020-03-01,,,,,,,,,,,,,
9.1823E+12,NwoZbiBywnh2WvyxOlmFzYXP5INGQgWVhfLuoaLeopWLfBcSWsbaNr6mAYlRkJgRmweZc1Z1BtqaLIA7YcGX1Q==,Enterprise Queue,2020-03-01,19:03:06,19:00:34,DEF,MAJX,33921,MN,E,N0,0,N,BSCM2M1,N,N,0,N,NA,,BGCO-CLEU In-House Eligible,BGCO Care,BSC,s6iL74zDWFDrD18Sm15BUouesQNwDF7IvCRqqN7DVW8aJ4m8kco19D37H8U3uMLXW81bNjO+MA3SbAQ4IChqWQ==,EQ2,6171,22021,SC,1,29,1,2,,295,0,0,0,4,148,0,143,152,143,1,39,0,1,0,0,0,250,V,QoRCfqWjiLBlRiq0snvtXZmyWdIb8Hn3TC8f0jucAwZSbh0YQEguB3jvQmxk/4Ooh2m2Ada8RuIMXGmDFuJfJw==,76,vuq1aNarGvjwYbVz0mjoPvYDpvgasxC8bb9y1T5WyTLIFj9RC7JuHywR33oY5yoIPra+Zza/P8zU6dWlUpblZw==,21,Legacy,BGCO-Tech Advisor,eUURaqJHOi+KJ6HHQlfahsh97FCGLRAMACSmhdVJ8nbKHWETtXga28ajn+Jd37B2xmC/8woeLw97jX8b+TWrog==,C,,,2020-03-01,,,,,,,,,,,,,
9.1823E+12,EbolVYhsoagcKvw72kMVs0ojXufnvPo/rUOXF+UrLtWJMx0b4N0t8kLkgGbncVmY5fyc+C3dPnDpA+o636A12Q==,SPC,2020-03-01,13:34:42,13:22:24,DEF,SMBC,45793,MN,E,N2,0,N,BSCSHOO,N,N,B14,N,NA,,BGCO-GNRLCLEU,Business,BSC,DQgLg6hDQUkTwgJrazRpR8iIlECcqUZrtB/4b/E1iRBJZWCAxzpEcpUUIKVlRfkeF2Nij2fgVL9tuCOSgyry5g==,EQ,5993,10800,NC,0,13,1,2,,739,0,1,0,129,609,0,0,738,0,1,27,0,1,1,0,0,271,V,pqYLSiDGis1+gqBB7GcHRX6GzTEodle11rzhihrJBrCkRHotbAfnb89PAMjPZeNw9fypXre6GuTP9j6PmMywEw==,1,4befHMNkEYSyrj3HE/FDTREUHOAXG/V5A7VIrxHXYm0ZgcZGluWu8km09uO86nf9Kt2R8T8fuueWdo+Jj7J31A==,227,SPC,BGCO-Phone Team,FJG8d0G5/dgOO3j4QIL5YS1yLc+9Yq545iugYfXcUyiFTykCGCWtc5/mur6DImaD7T27G2Q64lhlsafZAn12og==,C,,,2020-03-01,,,,,,,,,,,,,
9.1823E+12,uNxvGKffzKD9YeqZXH0NgK7JHmyjLfww4liGXs4zSpXpFlE0tgjbgRaLpu0eKaE0ubJvJCnPcleG/JEMfLQ8ZA==,SPC,2020-03-01,14:35:24,14:28:00,DEF,SMBC,45775,LN,S,W0,0,N,BSCSHOO,N,N,0,N,NA,,BGCO-GNRLCLEU,Business,BSC,mA85rf6joH6X5ReS34t/7gGWRgVHAYB3K/4yMT9DKmfyIeoNsL1F4IhWzueMRBFqRLhvesAXzM+jIVW4pyj8BA==,EQ,5993,10800,SC,1,30,1,2,,449,0,0,0,48,361,35,5,444,5,1,29,0,1,1,0,0,271,V,hlEbK1pU0J//pIQ67v6d8wahtKuM53wQIdBOoXSLOlTlOQLlY4rqy9IHEHwN1uZ5RPz4Z+HjX+t/3Y2Iaa1hdQ==,3,PkDikgJAKsSvf6+HBEknTQeIOVJgbNcv+CqeC9ZQ8k3as0gVXkVb5DgZGOYkAIAkuCtUl2kpI5oNuRJykpCeNQ==,227,SPC,BGCO-Phone Team,FJG8d0G5/dgOO3j4QIL5YS1yLc+9Yq545iugYfXcUyiFTykCGCWtc5/mur6DImaD7T27G2Q64lhlsafZAn12og==,C,,,2020-03-01,,,,,,,,,,,,,
9.1823E+12,/E1GPI56e1DmKP0pqYFh/Dz58yZS8dh/L6lCIqEkbwAujkT2M024mB9ASL/hiCXENndb0SsUdtk2rYsPi9aMuQ==,SPC,2020-03-01,14:47:32,14:35:16,DEF,SMBC,42456,MN,E,N0,0,N,BSCSHOO,N,N,0,N,NA,,BGCO-GNRLCLEU,Business,BSC,Itc+SdurfF05MyBq4/JfRoFKlJPP17kaKU+iEQOIM+7vfHlttU+0DKS66RFezKfZuWxh7k0E1UzytkpezmW68Q==,EQ,5993,10800,GL,1,30,1,2,,737,0,1,0,126,575,35,0,736,0,1,30,0,1,1,0,0,271,V,MnpKMX7lraB2PgXk//V6e0/xD+vqhiYvOzM4ds9AthWVDDl1z9hPtje05DSiZuXUXVFW4Ygl6YL13XIc0YS8qQ==,7,Opsafn/RseBp/GvrTEUKFgCzwORSvTcmpwXgbNIBHQZMk0JsDoWHgdHmCrrZpKacW6yaoSeGsHepmQl2Gx684w==,227,SPC,BGCO-Phone Team,FJG8d0G5/dgOO3j4QIL5YS1yLc+9Yq545iugYfXcUyiFTykCGCWtc5/mur6DImaD7T27G2Q64lhlsafZAn12og==,C,,,2020-03-01,,,,,,,,,,,,,
9.1823E+12,alkmgE8FyPEaauX+ac9Xp0Vme6UZoEfqciwCaJjcvw5nUnXzDVPIDRFTxYeZhwirlJUAPsva73q/u8B+2k4hPw==,SPC,2020-03-01,11:44:17,11:36:24,DEF,SMBC,0,MN,E,N0,0,N,BSCSHOO,N,N,0,N,NA,,BGCO-GNRLCLEU,Business,BSC,Go/mPU+Ox9WgAloZ0HOg3Mj6/eEwE12VeWB64S/7E5OTrptD+thRgrR8i2TmoC0xOwLROByzhyvZ0IkEaFCliA==,EQ,5993,10800,PC,1,30,1,2,,579,0,0,0,343,95,35,106,473,106,1,24,0,1,0,0,0,271,V,RzAM8cyRPb5oi/i0mjI6FQDekrzeYdlc+TcOvTfl5Nnyw08W9GCTIl8/ZAXeWoNu1vCms4KUflTA85Bq+4ZB6w==,7,c2+BJ1VV9WZxacEKylAnFFL7O+oU5E2tTmJsPpLL1StHTRQdypKscE65qa3Dq0brIobDS4bJk7kB5qe2xvlJng==,227,SPC,BGCO-Phone Team,FJG8d0G5/dgOO3j4QIL5YS1yLc+9Yq545iugYfXcUyiFTykCGCWtc5/mur6DImaD7T27G2Q64lhlsafZAn12og==,C,,,2020-03-01,,,,,,,,,,,,,
9.1823E+12,nz8V0xQBvymu7jAoKCsMyHpbO+XyDs0JtvUajmD91JSEoQx0G+hBi+1LC8VEw3c0wBeWMOZN3uT0ikUeDPfCBQ==,SPC,2020-03-01,13:29:12,13:22:08,DEF,SMBC,40386,MN,E,N0,0,N,BSCSHOO,N,N,0,N,NA,,BGCO-GNRLCLEU,Business,BSC,n0DL6GpccBI9sm7T7CUNysds30F9RkaYhom6BOVorQzKStczl8z+0A4tMnGwXD/O9H6oPWK6Ql19RdwdRNyomw==,EQ,5993,10800,SE,1,30,1,2,,425,0,1,0,100,289,35,0,424,0,1,27,0,1,1,0,0,271,V,I+mlGu34ko63kSK6sT/Z2DobH65WDDGhh4m7l9NGXF1LkfrhRJL3amOiWYNjvT64xUfAef0a0maGNZQpdb/0Dg==,7,BvoVUmsFx4jvVJzpm/N0vnQ7kgZ4MoNsikXWjrNIVco1XurzanPhiydA9XDmcr02MM8MWOEe3SbWYtLR+REVuw==,227,SPC,BGCO-Phone Team,FJG8d0G5/dgOO3j4QIL5YS1yLc+9Yq545iugYfXcUyiFTykCGCWtc5/mur6DImaD7T27G2Q64lhlsafZAn12og==,C,,,2020-03-01,,,,,,,,,,,,,
9.1823E+12,ruix3BcOD9gfom2S55fWsTkpNG/P5Chhpif+TMyAnCraJ0fkjVp6JPqIfy3iRlPBucbPuxOu57FdSN/kbAzYdQ==,SPC,2020-03-01,12:08:07,11:54:06,DEF,MAJX,0,MN,E,N0,0,N,GLPGNRL,N,N,0,N,NA,,BGCO-GNRLCLEU,Business,BSC,Z7XUWmBySqoHWy/gKK0zYW6oTit7p2T2J8m+wDsU1AvDHPSVVx7KpcPGnJFfMrlu6yAw4Xa+oJhHB2oq5W7hsQ==,EQ,5993,10800,OM,0,6,1,2,,852,3,0,0,117,724,0,8,841,11,1,24,0,1,1,0,0,271,V,3pY4MAyEgmUNQ8Y28RpO/7GH4J7eJENIXYrFgVwlMc5Z6eB2hOh7ECSX1A+RUZDVa3XKpsOOnJSO1F3fq6hCiA==,4123559,lx2i70dgxVRs1sgJM95At9BZ80Ks9CVfrZCNu4u4BfVsurasSeOcA03LRiKgkYdtxP3u5V5FMgq3SY/Ie+j5+w==,227,SPC,BGCO-Phone Team,FJG8d0G5/dgOO3j4QIL5YS1yLc+9Yq545iugYfXcUyiFTykCGCWtc5/mur6DImaD7T27G2Q64lhlsafZAn12og==,C,,,2020-03-01,,,,,,,,,,,,,
9.1823E+12,ui+2NkP65AelHOxXl+x9xqHM3q89Deabhs33rUt0gIKF+YY3UamAqTgWVJdr+gVw9sjhbCH5Ju/htL64LK/MoA==,SPC,2020-03-01,17:07:14,16:31:12,DEF,SMBC,33936,LN,E,N0,0,N,BSCSHOO,N,N,0,N,NA,,BGCO-GNRLCLEU,Business,BSC,2sda9Q+4dnrLo888dXCljb1M5GEwIZmRs3nwEcJXb2ziiPbc2svqqdvjNDc2qm4TkbJU3Le1iggJkkwSDQWAsw==,EQ,5993,10800,NE,1,29,1,2,,2219,8,0,0,1334,828,0,49,2162,57,1,34,0,1,0,0,0,271,V,+joIdpv7cnwPBQNItXgtjCn07FKq1b8BbQ8w7b0xnN4bynsIXv15Z2cveq3G0V8djxPZ8rwsCGUV6RatD+Fb5A==,3,/mdUHSULOxQw4AqyOz3yb94qIHqkceJBkeN8JrkHfK+jAD7mM7QnEdpw/FQprTcJZXHOXMIDi78bh9qxJAWxnw==,227,SPC,BGCO-Phone Team,FJG8d0G5/dgOO3j4QIL5YS1yLc+9Yq545iugYfXcUyiFTykCGCWtc5/mur6DImaD7T27G2Q64lhlsafZAn12og==,C,,,2020-03-01,,,,,,,,,,,,,
9.1823E+12,SPuNX8ZqrkeSIzkZ6kc6fH73R5P6b5phrPj+29DC4I4YnWEuJ9bMg37qhYHi0laEeyGy2TVfcyrOvdazTW40BQ==,SPC,2020-03-01,13:44:58,13:33:08,DEF,SMBC,36237,MN,E,N0,0,N,BSCSHOO,N,N,0,N,NA,,BGCO-GNRLCLEU,Business,BSC,ojaGgrIFBAe2YedD1ml0WsM4zePE0UX2bJmIMNLrEn34mMuXz5TdDxH+0hVmQzrUn0ha4o0KbDdxpr2EzQntSQ==,EQ,5993,10800,NC,1,29,1,2,,710,0,0,0,70,640,0,0,710,0,1,28,0,1,1,0,0,271,V,HLKP5nCaqSTuggFagBEFQYcRy44UhbZX7E4XghpnjSgSfFMGMQjnNq6KnlAsy/BV/qinSh7aAL+lZEqIta59Cg==,1,Aa3LgjppUT5OzchVDmiLmYrKQDCsfF/vTLs4K6fIsPE3KpJP8DrraAsDjzYGe28f5pydJ7C7J7DKul0yvCAIOw==,227,SPC,BGCO-Phone Team,FJG8d0G5/dgOO3j4QIL5YS1yLc+9Yq545iugYfXcUyiFTykCGCWtc5/mur6DImaD7T27G2Q64lhlsafZAn12og==,C,,,2020-03-01,,,,,,,,,,,,,
9.1823E+12,sOLH9AUwveV3qZnaZUd2D9wv2dl01HPU4JBxsCvpgz3673LVTYa1cFVZVNWYbGmO1x78pAVihI5OzKkOuT5Uhg==,SPC,2020-03-01,14:11:40,14:05:05,DEF,MAJX,38384,MN,E,N0,0,N,BSCSHOO,N,N,0,N,NA,,BGCO-GNRLCLEU,Business,BSC,zlFm9h4b3D6VXeG2iifyzqM3PEF0+HPQv/V/25t9GvF71UbHsSSUlvvKgwKFdEEprQgq+XrIJ10H9iyaUA+EMQ==,EQ,5993,10800,NE,1,29,1,2,,395,0,0,0,5,355,35,0,395,0,1,29,0,1,1,0,0,271,V,GeS9NU1RfWX6MNCDc1h3ZVCP6Ywn3OSPNqKI+n4E+wr/iSm7CXi8NB17XzcSi7ZY6egoq9yf7msJ8J/jMJN6hA==,301,Ks1aHN40iJ0pSe7+2luWYfq0ozi2+2DZfJJFVZlu2lOxIJ0GRSvJ3yTUCmS857x7ocDI163fyaMrecFzY+NcSQ==,227,SPC,BGCO-Phone Team,FJG8d0G5/dgOO3j4QIL5YS1yLc+9Yq545iugYfXcUyiFTykCGCWtc5/mur6DImaD7T27G2Q64lhlsafZAn12og==,C,,,2020-03-01,,,,,,,,,,,,,
9.1823E+12,h50HQ7JCwms7x0iVY0eKkLI0RuoUvN8sxt9mpFqZJ93JEQIAaH1ASt1j8k8vToruzhZupBgYlXZ2fJ0IrTtGSg==,SPC,2020-03-01,15:59:27,15:48:19,DEF,SMBC,36226,MN,E,N0,0,N,BSCSHOO,N,N,0,N,NA,,BGCO-GNRLCLEU,Business,BSC,SgBsIO99Z/bafvaB9t7/T9gssKMmESd3Pcg+XDsXLAJw7+IK3y0iqY64czMrCx7Dx/FIZzgA4K2oQmNOOknhBQ==,EQ,5993,10800,NE,0,13,1,2,,669,0,1,0,200,468,0,0,668,0,1,32,0,1,1,0,0,271,V,j41ihvXpuALn1lPNtsPveUHcBl5t6asbp/CuoMkewmmqcnW8VI0xWjzFiKqwMFlTv52UUPTpjkSf3ljNPZ62hA==,2,07YZiNY8T0UQlxFoCjkQ6OxNZETY3Y/okMzJDO4FmtDmHtod3meFmIHsCXUWJwovpJqC2fvnXe4cfTKGjCno5g==,227,SPC,BGCO-Phone Team,FJG8d0G5/dgOO3j4QIL5YS1yLc+9Yq545iugYfXcUyiFTykCGCWtc5/mur6DImaD7T27G2Q64lhlsafZAn12og==,C,,,2020-03-01,,,,,,,,,,,,,
